,Tweets
0,"RT @IPKedits: Arnav Khushi x Kesariya (Brahmastra) 

New one 💓
Hope you guys like it
If reposting pls give due credit. Thanks 🙏🏻 

#ArShi #…"
1,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
2,RT @Box_Off_India: #Brahmastra Fifth Weekend Box Office Update https://t.co/4f9kXj7Vyh
3,"RT @newottupdates: This DIWALI Special (Expected)💥

#Thunivu Motion Poster or Third Look.💥

#Thalapathy67 Announcement with Poster. 🔥

#Ven…"
4,"@QuestioningBird @HimeshMankad Brahmastra except few dialogues and love story it's a perfect entertaining movie with great Visuals and VV is very good movie. I am happy about it. Thank you 

Adipurush South ki hain dekh le

And South released more than 125+ movies. Do you even know atleast 15? 😭😭"
5,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
6,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
7,"RT @letscinema: #LetsCinema EXCLUSIVE. Current totals for Indian films at the UK box office 🇬🇧

1. Ponniyin Selvan - £1,118,306
2. Brahmast…"
8,"RT @BoxOfficeAndhra: Newzealand gross till Oct 9th (NZ$)

#Brahmastra $ 409,285
#PonniyinSelvan1 $ 154,025
#VikramVedha $ 125,830
#BaabeBha…"
9,"RT @humblekapoor: RANBIR AS DEV AND SHIVA
#brahmastra 
We got dev clue way before release https://t.co/eOyJdKGQC6"
10,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
11,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
12,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
13,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
14,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
15,"@thoughtsofnavy @HimeshMankad And you please be happy with brahmastra, adipurish and duplicate Vikram vedha."
16,RT @Box_Off_India: #Brahmastra Fifth Weekend Box Office Update https://t.co/4f9kXj7Vyh
17,RT @UmairSandu: Bollywood is suffering BIG TIME ! Back to Back Mega FLOPS #brahmastra &amp; #VikramVedhra !!! Even there is NO BUZZ for Diwali…
18,"RT @go4ashi: It has been reported that After the epic flop of #Brahmastra movie, @karanjohar decided to step down as Producer and decided t…"
19,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
20,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
21,RT @investaar: @professbaklol @GemsOfBollywood He creates and fostered negative environment so blame Kjo. Thank God he left. I can't wait f…
22,"Happy Birthday @SrBachchan 🥳 Only if we would've never come to twitter and discovered your personality 😔 Nevertheless, thanks for being a one of a kind superstar and giving our parents and grandparents their favourite movis... Please come back for Brahmastra 2 🤞"
23,"RT @Touch_MeNot__: @professbaklol @GemsOfBollywood KJo has just left Twitter.. 
Tomorrow he will leave making movies😭😭😭..
Overwhelmed with…"
24,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
25,RT @UmairSandu: Bollywood is suffering BIG TIME ! Back to Back Mega FLOPS #brahmastra &amp; #VikramVedhra !!! Even there is NO BUZZ for Diwali…
26,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
27,"Answer the question below. Enhance, refine, and accelerate your learning with ""UPSC Practice"".

🪔 Get the ""UPSC Practice"" Mobile App https://t.co/vwXULjMzG1
#GK #GeneralKnowledge

🇮🇳 https://t.co/9vLIhL5l7d #Brahmastra #Queen #Elizabeth #ViratKohli

https://t.co/0e7WgtlvJa https://t.co/pDwK8iXyIL"
28,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
29,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
30,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
31,Bollywood is suffering BIG TIME ! Back to Back Mega FLOPS #brahmastra &amp; #VikramVedhra !!! Even there is NO BUZZ for Diwali Releases like #RamSetu &amp; #ThankGod.
32,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
33,"RT @Thinkwithniche: Amitabh Bachchan Is Celebrating His 80th Birthday
⤵️Click-2-Read⤵️
https://t.co/7gubrvPanM

#AmitabhBachchan #80thBirth…"
34,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
35,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
36,RT @finepatriot1: Vikram Vedha has badly flopped. Now Adipurush may not ne released at all or will flop even if it goes to theatre screen.…
37,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
38,Phone Bhoot actress Katrina Kaif reveals about her dream role; is it the Brahmastra success effect? https://t.co/CqBGHdPBCu
39,RT @movieboxreports: Based on the trending #VikramVedha is performing better than #Brahmastra as WOM is good compare to the later. The mark…
40,RT @movieboxreports: Based on the trending #VikramVedha is performing better than #Brahmastra as WOM is good compare to the later. The mark…
41,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
42,VFX project and makers are still unprepared for the film also current situation of Bollywood is worst. Adipurush being heavily critisized. Only brahmastra visuals got positive reviews all india. So #ShraddhaKapoor fellow fans stop assuming things and cursing male actors 😅😂
43,RT @Harmindarboxoff: I heard from that @kamaalrkhan has used mine and @taran_adarsh name in his latest video today and called the collectio…
44,RT @stayhappyhuman: By this weekend #PonniyinSelvan will beat this so called FAKE blockbuster #brahmastra lifetime collection 😂😂😂😂😂 https:/…
45,"RT @Devoted2SRK57: 𝐒𝐞𝐞𝐧 𝐨𝐫 𝐔𝐧𝐬𝐞𝐞𝐧?
#ArtStationAqibZaman 
#KingKHAN 👑 #SRK 
#ShahRukhKhan
#KingOfBollywood 🎥 @iamsrk 
#ShahRukhKhan𓀠 #SRK𓃵
#…"
46,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
47,"RT @CrazyBuffOffl: #RanbirKapoor #AliaBhatt #Brahmastra #BrahmastraMovie #BrahmastraBoxoffice #BrahmastraCollection 

Follow us on 👉 https:…"
48,By this weekend #PonniyinSelvan will beat this so called FAKE blockbuster #brahmastra lifetime collection 😂😂😂😂😂 https://t.co/jkkBWydVef
49,"RT @humblekapoor: RANBIR AS DEV AND SHIVA
#brahmastra 
We got dev clue way before release https://t.co/eOyJdKGQC6"
50,#Brahmastra Fifth Weekend Box Office Update https://t.co/4f9kXj7Vyh
51,"#RanbirKapoor #AliaBhatt #Brahmastra #BrahmastraMovie #BrahmastraBoxoffice #BrahmastraCollection 

Follow us on 👉 https://t.co/IWNZO0YKOS https://t.co/Wudcn2aHqP"
52,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
53,Phone Bhoot actress Katrina Kaif reveals about her dream role; is it the Brahmastra success effect? https://t.co/dxjrfxeH7W
54,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
55,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
56,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
57,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
58,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
59,"Tomorrow's story is better than thinking,
 Make today's story beautiful...
#brahmāstra #enjoylife 
#LifeIsBeautiful #lovestory https://t.co/Msm27YSqBa"
60,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
61,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
62,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
63,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
64,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
65,"RT @SRKMIDDLEFINGER: Best Cameo of 2022! 
No debate 🔥

#ShahRukhKhan𓀠 #Brahmastra https://t.co/2lwm5RGeuV"
66,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
67,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
68,"From #RameshSippy who directed him in the 1975 cult film #Sholay to #AyanMukerji who helmed his latest #Brahmastra 47 years later, #AmitabhBachchan is the man for all seasons and all kinds of films.
 https://t.co/k0V8ORL0lz"
69,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
70,"Hii folks 
NRI says #brahmastraboxoffice  flops , he needs treatment immediately 

https://t.co/kQt2yxaZPr https://t.co/wMzHCjLfub"
71,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
72,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
73,RT @snowspeaketh: The no of body types #RanbirKapoor had in the shooting span of #Brahmastra is insane(there are more). Even the muscular v…
74,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
75,"RT @cbkwgl: Shamshera and Lal Singh Chadda were unwatchable
Brahmastra was a village carnival with it's glitzy lights
Adipurush is a mishma…"
76,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
77,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
78,"Black saree is love🖤 #brahmastrafullmovie #aliabhattandranbirkapoor #rasiya #brahmastra

https://t.co/CMKic0FJqA"
